datetime,open,high,low,close,volume
2025-12-24 09:15:00+05:30,26183.75,26201.55078125,26142.0,26198.25,0.0
2025-12-24 09:20:00+05:30,26200.650390625,26216.44921875,26197.349609375,26206.0,0.0
2025-12-24 09:25:00+05:30,26205.599609375,26221.900390625,26203.80078125,26217.099,0.0
2025-12-24 09:30:00+05:30,26217.599609375,26229.19921875,26215.400390625,26222.650390625,0.0
2025-12-24 09:35:00+05:30,26223.400390625,26225.94921875,26211.55078125,26214.599609375,0.0
2025-12-24 09:40:00+05:30,26213.30078125,26218.05078125,26202.650390625,26215.69921875,0.0
2025-12-24 09:45:00+05:30,26217.599609375,26222.5,26203.349609375,26206.55078125,0.0
2025-12-24 09:50:00+05:30,26206.400390625,26227.25,26205.599609375,26220.30078125,0.0
2025-12-24 09:55:00+05:30,26219.25,26225.099609375,26210.599609375,26221.849609375,0.0
2025-12-24 10:00:00+05:30,26222.599609375,26225.099609375,26208.19921875,26209.69921875,0.0
2025-12-24 10:05:00+05:30,26211.69921875,26213.94921875,26203.599609375,26211.55078125,0.0
2025-12-24 10:10:00+05:30,26211.44921875,26228.650390625,26209.650390625,26227.19921875,0.0
2025-12-24 10:15:00+05:30,26228.5,26236.30078125,26224.25,26224.25,0.0
2025-12-24 10:20:00+05:30,26225.30078125,26229.69921875,26221.05078125,26224.19921875,0.0
2025-12-24 10:25:00+05:30,26224.900390625,26232.19921875,26221.19921875,26230.94921875,0.0
2025-12-24 10:30:00+05:30,26230.5,26235.349609375,26226.94921875,26230.44921875,0.0
2025-12-24 10:35:00+05:30,26230.849609375,26234.75,26221.0,26227.19921875,0.0
2025-12-24 10:40:00+05:30,26226.349609375,26227.80078125,26218.30078125,26218.30078125,0.0
2025-12-24 10:45:00+05:30,26220.099609375,26223.849609375,26205.400390625,26207.849609375,0.0
2025-12-24 10:50:00+05:30,26208.94921875,26212.44921875,26203.55078125,26206.25,0.0
2025-12-24 10:55:00+05:30,26207.30078125,26215.599609375,26201.05078125,26210.80078125,0.0
2025-12-24 11:00:00+05:30,26211.599609375,26216.849609375,26198.05078125,26202.099609375,0.0
2025-12-24 11:05:00+05:30,26202.599609375,26209.25,26200.900390625,26205.150390625,0.0
2025-12-24 11:10:00+05:30,26204.849609375,26212.19921875,26199.55078125,26210.150390625,0.0
2025-12-24 11:15:00+05:30,26210.30078125,26212.400390625,26206.80078125,26208.25,0.0
2025-12-24 11:20:00+05:30,26209.5,26221.0,26208.25,26215.0,0.0
2025-12-24 11:25:00+05:30,26215.05078125,26215.80078125,26205.25,26213.05078125,0.0
2025-12-24 11:30:00+05:30,26214.349609375,26217.44921875,26208.94921875,26215.0,0.0
2025-12-24 11:35:00+05:30,26215.5,26216.25,26206.599609375,26207.69921875,0.0
2025-12-24 11:40:00+05:30,26208.44921875,26210.69921875,26184.150390625,26185.44921875,0.0
2025-12-24 11:45:00+05:30,26186.69921875,26189.0,26178.650390625,26184.400390625,0.0
2025-12-24 11:50:00+05:30,26184.69921875,26187.19921875,26181.150390625,26186.19921875,0.0
2025-12-24 11:55:00+05:30,26185.849609375,26197.94921875,26185.80078125,26192.849609375,0.0
2025-12-24 12:00:00+05:30,26193.30078125,26196.400390625,26185.849609375,26194.94921875,0.0
2025-12-24 12:05:00+05:30,26194.94921875,26198.05078125,26186.75,26188.44921875,0.0
2025-12-24 12:10:00+05:30,26188.94921875,26194.400390625,26186.19921875,26192.0,0.0
2025-12-24 12:15:00+05:30,26191.849609375,26201.099609375,26190.44921875,26196.849609375,0.0
2025-12-24 12:20:00+05:30,26196.94921875,26201.0,26191.44921875,26193.599609375,0.0
